time,log_dt_us,autopilot_mode,motors_on,autopilot_in_flight,rc_status,rc_time_since_last_frame,rc_frame_rate,rc_roll,rc_pitch,rc_yaw,rc_throttle,rc_mode,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,att_phi,att_theta,att_psi,rate_p,rate_q,rate_r,rpm_obs_1,rpm_obs_2,rpm_obs_3,rpm_obs_4,rpm_ref_1,rpm_ref_2,rpm_ref_3,rpm_ref_4,mixer_cmd_1,mixer_cmd_2,mixer_cmd_3,mixer_cmd_4,nn_enabled,nn_periodic_count,nn_waypoint_index,nn_waypoint_switch_count,nn_target_x,nn_target_y,nn_target_z,nn_pos_x,nn_pos_y,nn_pos_z,nn_err_x,nn_err_y,nn_err_z,nn_dist,nn_dist_xy,nn_abs_z_error,nn_mext_mode,nn_mext_est_x,nn_mext_est_y,nn_mext_est_z,nn_mext_measured_x,nn_mext_measured_y,nn_mext_measured_z,nn_mext_modeled_x,nn_mext_modeled_y,nn_mext_modeled_z,nn_mext_filtered_p,nn_mext_filtered_q,nn_mext_filtered_r,nn_mext_time_us,nn_in_dx_raw,nn_in_dy_raw,nn_in_dz_raw,nn_in_vx_raw,nn_in_vy_raw,nn_in_vz_raw,nn_in_phi_raw,nn_in_theta_raw,nn_in_psi_raw,nn_in_p_raw,nn_in_q_raw,nn_in_r_raw,nn_in_Mx_ext_raw,nn_in_My_ext_raw,nn_in_Mz_ext_raw,nn_in_omega1_raw,nn_in_omega2_raw,nn_in_omega3_raw,nn_in_omega4_raw,nn_in_dx_normalized,nn_in_dy_normalized,nn_in_dz_normalized,nn_in_vx_normalized,nn_in_vy_normalized,nn_in_vz_normalized,nn_in_phi_normalized,nn_in_theta_normalized,nn_in_psi_normalized,nn_in_p_normalized,nn_in_q_normalized,nn_in_r_normalized,nn_in_Mx_ext_normalized,nn_in_My_ext_normalized,nn_in_Mz_ext_normalized,nn_in_omega1_normalized,nn_in_omega2_normalized,nn_in_omega3_normalized,nn_in_omega4_normalized,network_out1_norm,network_out2_norm,network_out3_norm,network_out4_norm,network_out1_raw,network_out2_raw,network_out3_raw,network_out4_raw,rpm_cmd1,rpm_cmd2,rpm_cmd3,rpm_cmd4,rpm_applied1,rpm_applied2,rpm_applied3,rpm_applied4,nn_mean_norm,nn_mean_rpm_cmd,nn_raw_mean_rpm,nn_periodic_dt_us,nn_sensor_read_time_us,nn_inference_time_us,nn_total_time_us,cmd_thrust,cmd_roll,cmd_pitch,cmd_yaw
0.005464,0,13,0,0,2,60,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,1.500000,-0.030000,1.000000,0.000000,0.000000,0.000000,1.500000,-0.030000,1.000000,1.803025,1.500300,1.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0
0.015229,9804,13,0,0,2,60,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,2500,2500,2500,2500,-9600,-9600,-9600,-9600,0,0,88,0,1.500000,-0.030000,1.000000,0.000000,0.000000,0.000000,1.500000,-0.030000,1.000000,1.803025,1.500300,1.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0
0.024999,9773,13,0,0,2,60,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,2500,2500,2500,2500,-9600,-9600,-9600,-9600,0,0,88,0,1.500000,-0.030000,1.000000,0.000000,0.000000,0.000000,1.500000,-0.030000,1.000000,1.803025,1.500300,1.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0
0.034765,9765,13,0,0,2,60,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,2500,2500,2500,2500,-9600,-9600,-9600,-9600,0,0,88,0,1.500000,-0.030000,1.000000,0.000000,0.000000,0.000000,1.500000,-0.030000,1.000000,1.803025,1.500300,1.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0
0.044530,9765,13,0,0,2,60,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,2500,2500,2500,2500,-9600,-9600,-9600,-9600,0,0,88,0,1.500000,-0.030000,1.000000,0.000000,0.000000,0.000000,1.500000,-0.030000,1.000000,1.803025,1.500300,1.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0
0.054296,9766,13,0,0,2,60,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,2500,2500,2500,2500,-9600,-9600,-9600,-9600,0,0,88,0,1.500000,-0.030000,1.000000,0.000000,0.000000,0.000000,1.500000,-0.030000,1.000000,1.803025,1.500300,1.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0
0.064063,9769,13,0,0,2,60,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,2500,2500,2500,2500,-9600,-9600,-9600,-9600,0,0,88,0,1.500000,-0.030000,1.000000,0.000000,0.000000,0.000000,1.500000,-0.030000,1.000000,1.803025,1.500300,1.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0
0.073828,9762,13,0,0,2,60,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,2500,2500,2500,2500,-9600,-9600,-9600,-9600,0,0,88,0,1.500000,-0.030000,1.000000,0.000000,0.000000,0.000000,1.500000,-0.030000,1.000000,1.803025,1.500300,1.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0
0.083594,9767,13,0,0,2,60,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,2500,2500,2500,2500,-9600,-9600,-9600,-9600,0,0,88,0,1.500000,-0.030000,1.000000,0.000000,0.000000,0.000000,1.500000,-0.030000,1.000000,1.803025,1.500300,1.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0
0.093359,9764,13,0,0,2,60,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,2500,2500,2500,2500,-9600,-9600,-9600,-9600,0,0,88,0,1.500000,-0.030000,1.000000,0.000000,0.000000,0.000000,1.500000,-0.030000,1.000000,1.803025,1.500300,1.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0
